function, method, run, loss, l2
f1, baseline, 1, 0.0007913316367194057, 1.177797555923462
f1, glorot, 1, 1.0784069672808982e-05, 0.45968589186668396
f1, power, 1, 2.6457078092789743e-06, 0.3768364489078522
f1, baseline, 2, 0.0012167947134003043, 1.8294093608856201
f1, glorot, 2, 4.792969048139639e-05, 0.3755040466785431
f1, power, 2, 1.4284511053119786e-05, 0.38320282101631165
f1, baseline, 3, 0.0019349324284121394, 1.7193049192428589
f1, glorot, 3, 5.829705514770467e-06, 0.41926702857017517
f1, power, 3, 5.199298357183579e-06, 0.3850122094154358
f1, baseline, 4, 0.0010880206245929003, 1.374039888381958
f1, glorot, 4, 0.00017488175944890827, 0.38100898265838623
f1, power, 4, 3.4429710922267986e-06, 0.38550665974617004
f1, baseline, 5, 0.0007955351029522717, 1.5092674493789673
f1, glorot, 5, 0.27587661147117615, 0.7506665587425232
f1, power, 5, 1.1203941539861262e-05, 0.38829171657562256
f2, baseline, 1, 0.0014800513163208961, 1.4060733318328857
f2, glorot, 1, 7.632935012225062e-05, 0.5801330804824829
f2, power, 1, 4.247897959430702e-05, 0.48977354168891907
f2, baseline, 2, 0.0006573076243512332, 2.0286850929260254
f2, glorot, 2, 1.211813560075825e-05, 0.6199507713317871
f2, power, 2, 1.608638854122546e-06, 0.46801018714904785
f2, baseline, 3, 0.006364752072840929, 1.3953548669815063
f2, glorot, 3, 2.8353751986287534e-05, 0.5389259457588196
f2, power, 3, 2.0224833860993385e-06, 0.4429614841938019
f2, baseline, 4, 0.001361096277832985, 1.8704670667648315
f2, glorot, 4, 0.00010455823939992115, 0.5888772010803223
f2, power, 4, 1.5321325918193907e-05, 0.459229439496994
f2, baseline, 5, 0.0009303188417106867, 1.6409351825714111
f2, glorot, 5, 0.010451603680849075, 0.5160552263259888
f2, power, 5, 2.180815044994233e-06, 0.4513278901576996
f3, baseline, 1, 0.00020477322686929256, 0.3772066533565521
f3, glorot, 1, 4.9182085604115855e-06, 0.0029504827689379454
f3, power, 1, 2.1680641282273427e-08, 0.00016638293163850904
f3, baseline, 2, 0.00022952411381993443, 0.38495728373527527
f3, glorot, 2, 3.8087422581156716e-05, 0.006880791392177343
f3, power, 2, 5.000787695053077e-08, 0.00016610459715593606
f3, baseline, 3, 0.00016396940918639302, 0.3606438934803009
f3, glorot, 3, 1.3854157714376925e-06, 0.001320974319241941
f3, power, 3, 2.7594083462645358e-08, 0.00018261636432725936
f3, baseline, 4, 0.00011761129280785099, 0.34116053581237793
f3, glorot, 4, 1.1593137969612144e-06, 0.0011809634743258357
f3, power, 4, 1.5986447721161312e-08, 0.00016374577535316348
f3, baseline, 5, 0.00015154213178902864, 0.38313812017440796
f3, glorot, 5, 3.071239689234062e-06, 0.001469584763981402
f3, power, 5, 1.5996368674109362e-08, 0.00014972974895499647
f4, baseline, 1, 2698.571533203125, 3.078594923019409
f4, glorot, 1, 2821.246337890625, 1.1076713800430298
f4, power, 1, 0.9260334968566895, 5.485781669616699
f4, baseline, 2, 1194.2645263671875, 5.519469738006592
f4, glorot, 2, 2830.685791015625, 1.1826413869857788
f4, power, 2, 0.25271910429000854, 4.98441219329834
f4, baseline, 3, 2882.947021484375, 2.415283203125
f4, glorot, 3, 2803.539306640625, 1.0936626195907593
f4, power, 3, 0.1872747242450714, 5.603355407714844
f4, baseline, 4, 2827.61572265625, 2.625518321990967
f4, glorot, 4, 2781.9921875, 1.1799323558807373
f4, power, 4, 4.012918472290039, 6.269321918487549
f4, baseline, 5, 305.0374755859375, 5.587680816650391
f4, glorot, 5, 2808.2900390625, 1.0359878540039062
f4, power, 5, 0.1042267382144928, 5.057787895202637
f5, baseline, 1, 0.0001601433177711442, 0.7851956486701965
f5, glorot, 1, 4.5658807721338235e-06, 0.016717785969376564
f5, power, 1, 9.872032080693316e-08, 0.015260398387908936
f5, baseline, 2, 0.00016276563110295683, 0.7147108912467957
f5, glorot, 2, 1.960827285074629e-05, 0.017642689868807793
f5, power, 2, 1.0918361112999264e-06, 0.014292093925178051
f5, baseline, 3, 8.569498459110036e-05, 0.618147611618042
f5, glorot, 3, 5.701245299860602e-06, 0.016312047839164734
f5, power, 3, 9.670663558836168e-08, 0.01474978681653738
f5, baseline, 4, 0.00018093670951202512, 0.5921870470046997
f5, glorot, 4, 1.73708212969359e-05, 0.014553429558873177
