function, method, run, loss, l2
f1, baseline, 1, 0.005169310607016087, 0.40061962604522705
f1, glorot, 1, 0.02015814557671547, 0.421872079372406
f1, power, 1, 0.001177260302938521, 0.3987515866756439
f1, baseline, 2, 0.0031722099520266056, 0.39879170060157776
f1, glorot, 2, 0.008496260270476341, 0.4549015760421753
f1, power, 2, 0.0007934339228086174, 0.41368338465690613
f1, baseline, 3, 0.007838264107704163, 0.404922217130661
f1, glorot, 3, 0.00882306694984436, 0.4057198464870453
f1, power, 3, 0.0009946257341653109, 0.4026062488555908
f1, baseline, 4, 0.011396864429116249, 0.4120844900608063
f1, glorot, 4, 0.03078467585146427, 0.4456654191017151
f1, power, 4, 0.0025950437411665916, 0.4135530889034271
f1, baseline, 5, 0.003976061940193176, 0.4567532241344452
f1, glorot, 5, 0.00985621102154255, 0.39708635210990906
f1, power, 5, 0.002779207658022642, 0.4393528401851654
f2, baseline, 1, 0.0017779301851987839, 0.32508888840675354
f2, glorot, 1, 0.01777607388794422, 0.543376088142395
f2, power, 1, 0.0019653569906949997, 0.3973473012447357
f2, baseline, 2, 0.003577079391106963, 0.4276035726070404
f2, glorot, 2, 0.008685524575412273, 0.651439368724823
f2, power, 2, 0.0019695619121193886, 0.4744604527950287
f2, baseline, 3, 0.0034239431843161583, 0.5075292587280273
f2, glorot, 3, 0.00402934430167079, 0.45609456300735474
f2, power, 3, 0.0011776915052905679, 0.4372327923774719
f2, baseline, 4, 0.006192549131810665, 0.4148755669593811
f2, glorot, 4, 0.011618462391197681, 0.5008923411369324
f2, power, 4, 0.0021139367017894983, 0.4555509388446808
f2, baseline, 5, 0.005023973528295755, 0.4695308804512024
f2, glorot, 5, 0.006737194489687681, 0.49478909373283386
f2, power, 5, 0.0018629040569067001, 0.4283697307109833
f3, baseline, 1, 2.892618567784666e-06, 0.001721912412904203
f3, glorot, 1, 5.812198196508689e-06, 0.002578584011644125
f3, power, 1, 1.1198039828741457e-06, 0.001065550954081118
f3, baseline, 2, 1.0725604624894913e-05, 0.0032087545841932297
f3, glorot, 2, 1.303878343605902e-05, 0.003745258552953601
f3, power, 2, 2.6331651952204993e-06, 0.0016099073691293597
f3, baseline, 3, 1.4367616131494287e-05, 0.003667898243293166
f3, glorot, 3, 2.9270056984387338e-05, 0.00540076894685626
f3, power, 3, 9.914999736793106e-07, 0.0010680368868634105
f3, baseline, 4, 1.60999388754135e-05, 0.003928016871213913
f3, glorot, 4, 1.0702799045247957e-05, 0.003484150394797325
f3, power, 4, 7.160484756241203e-07, 0.0008571296348236501
f3, baseline, 5, 2.4299426513607614e-05, 0.004770119674503803
f3, glorot, 5, 2.8065265723853372e-05, 0.005308174062520266
f3, power, 5, 3.1463641789741814e-06, 0.001750981668010354
f4, baseline, 1, 1733.5111083984375, 2.0361368656158447
f4, glorot, 1, 3528.23095703125, 0.7647275328636169
f4, power, 1, 1647.1065673828125, 2.3591015338897705
f4, baseline, 2, 1781.3433837890625, 1.9052116870880127
f4, glorot, 2, 3513.58935546875, 0.7578148245811462
f4, power, 2, 1158.64404296875, 2.7352731227874756
f4, baseline, 3, 2235.728759765625, 1.8588967323303223
f4, glorot, 3, 3506.34765625, 0.7089102864265442
f4, power, 3, 1749.6754150390625, 2.4004340171813965
f4, baseline, 4, 2875.679443359375, 1.1514941453933716
f4, glorot, 4, 2963.668701171875, 1.1146436929702759
f4, power, 4, 2305.660400390625, 1.6047741174697876
f4, baseline, 5, 2787.493896484375, 1.457979679107666
f4, glorot, 5, 3508.319091796875, 0.8175569176673889
f4, power, 5, 2877.013916015625, 1.5530555248260498
f5, baseline, 1, 0.00011629139044089243, 0.028439268469810486
f5, glorot, 1, 0.00043851634836755693, 0.040213704109191895
f5, power, 1, 0.00011908196029253304, 0.02918042056262493
f5, baseline, 2, 0.0003310603788122535, 0.037319641560316086
