function, G, width, depth, run, loss, mse, l2
f1, 5, 2, 1, 1, 5.075615263194777e-05, 5.591018634731881e-05, 0.02205372415482998
f1, 5, 2, 1, 2, 0.00017947879678104073, 0.00022461870685219765, 0.041894663125276566
f1, 5, 2, 1, 3, 0.00010936673788819462, 0.0001212216739077121, 0.031398992985486984
f1, 5, 2, 1, 4, 0.00013679926632903516, 0.00017170351929962635, 0.03754184767603874
f1, 5, 2, 1, 5, 1.3932223737356253e-05, 2.116394716722425e-05, 0.012430218979716301
f1, 5, 4, 1, 1, 1.4753677533008158e-05, 1.6809874068712816e-05, 0.011770361103117466
f1, 5, 4, 1, 2, 1.5957617506501265e-05, 2.549144483054988e-05, 0.014133517630398273
f1, 5, 4, 1, 3, 1.4478780940407887e-05, 1.5125036043173168e-05, 0.011556115932762623
f1, 5, 4, 1, 4, 1.7941971236723475e-05, 1.9106279069092125e-05, 0.013222132809460163
f1, 5, 4, 1, 5, 1.7521922927699052e-05, 1.999772030103486e-05, 0.012920500710606575
f1, 5, 8, 1, 1, 1.0931227734545246e-05, 1.1927697414648719e-05, 0.010042482055723667
f1, 5, 8, 1, 2, 8.265857104561292e-06, 9.475837032368872e-06, 0.009184598922729492
f1, 5, 8, 1, 3, 1.108142805605894e-05, 1.1910186003660783e-05, 0.010079855099320412
f1, 5, 8, 1, 4, 1.566874561831355e-05, 1.63601780514e-05, 0.012269584462046623
f1, 5, 8, 1, 5, 1.0729617315519135e-05, 1.190024795505451e-05, 0.010053131729364395
f1, 5, 16, 1, 1, 5.020657681598095e-06, 6.0445322560553905e-06, 0.007113742176443338
f1, 5, 16, 1, 2, 7.082107003952842e-06, 7.794369594193995e-06, 0.00850385706871748
f1, 5, 16, 1, 3, 4.916775196761591e-06, 5.378107744036242e-06, 0.0070737614296376705
f1, 5, 16, 1, 4, 7.2818438638933e-06, 7.701853064645547e-06, 0.008236274123191833
f1, 5, 16, 1, 5, 5.090857030154439e-06, 5.388321369537152e-06, 0.0069060781970620155
f1, 5, 32, 1, 1, 6.363476586557226e-06, 7.222833119158167e-06, 0.007862400263547897
f1, 5, 32, 1, 2, 8.873602382664103e-06, 8.698312740307301e-06, 0.008928459137678146
f1, 5, 32, 1, 3, 5.943232281424571e-06, 6.406327429431258e-06, 0.007604582700878382
f1, 5, 32, 1, 4, 2.6243096726830117e-06, 2.6615803108143155e-06, 0.004994128365069628
f1, 5, 32, 1, 5, 4.034380708617391e-06, 4.5695173866988625e-06, 0.006268366705626249
f1, 5, 64, 1, 1, 5.108671302878065e-06, 5.962578597973334e-06, 0.007025699596852064
f1, 5, 64, 1, 2, 4.9404143283027224e-06, 6.218733688001521e-06, 0.007451619952917099
f1, 5, 64, 1, 3, 7.338259365496924e-06, 7.304442988242954e-06, 0.008237575180828571
f1, 5, 64, 1, 4, 3.273860556873842e-06, 2.9426398668874754e-06, 0.005468602757900953
f1, 5, 64, 1, 5, 3.819225639745127e-06, 4.530781552603003e-06, 0.005976919084787369
f1, 5, 2, 2, 1, 1.1457572327344678e-05, 1.2565516954055056e-05, 0.010961983352899551
f1, 5, 2, 2, 2, 4.148230073042214e-05, 5.385646363720298e-05, 0.021263953298330307
f1, 5, 2, 2, 3, 8.113680451060645e-06, 9.503936780674849e-06, 0.008631523698568344
f1, 5, 2, 2, 4, 9.17468969419133e-06, 1.2294053703953978e-05, 0.009376746602356434
f1, 5, 2, 2, 5, 1.0512155313335825e-05, 1.0946057955152355e-05, 0.009937859140336514
f1, 5, 4, 2, 1, 8.053933015617076e-06, 8.895801329344977e-06, 0.008946947753429413
f1, 5, 4, 2, 2, 9.614321243134327e-06, 1.1451679711171892e-05, 0.010121682658791542
