function, G, width, depth, run, loss, mse, l2
f1, 5, 2, 1, 1, 0.0008846098207868636, 0.0008690537652000785, 0.08993423730134964
f1, 5, 2, 1, 2, 0.00012644731032196432, 0.00014583671872969717, 0.03400452435016632
f1, 5, 2, 1, 3, 0.0002950372581835836, 0.0003021188313141465, 0.05139385536313057
f1, 5, 2, 1, 4, 0.00016927588148973882, 0.0001678917760727927, 0.04002920538187027
f1, 5, 2, 1, 5, 0.0002129981730831787, 0.00023348933609668165, 0.044104836881160736
f1, 5, 4, 1, 1, 4.230745253153145e-05, 4.357806756161153e-05, 0.019454188644886017
f1, 5, 4, 1, 2, 0.00011027195432689041, 0.00011888335575349629, 0.03152071312069893
f1, 5, 4, 1, 3, 6.389137706719339e-05, 6.499859591713175e-05, 0.023880407214164734
f1, 5, 4, 1, 4, 0.00015588445239700377, 0.0001637310633668676, 0.03887677565217018
f1, 5, 4, 1, 5, 9.53102862695232e-05, 8.67563794599846e-05, 0.029070930555462837
f1, 5, 8, 1, 1, 8.567838813178241e-05, 9.053038229467347e-05, 0.02848438359797001
f1, 5, 8, 1, 2, 1.8996366634382866e-05, 2.0919971575494856e-05, 0.013114167377352715
f1, 5, 8, 1, 3, 3.681424641399644e-05, 3.6062916478840634e-05, 0.018572188913822174
f1, 5, 8, 1, 4, 4.485936005949043e-05, 4.4273427192820236e-05, 0.020727936178445816
f1, 5, 8, 1, 5, 4.9665573897073045e-05, 4.9149475671583787e-05, 0.021033547818660736
f1, 5, 16, 1, 1, 1.4758696124772541e-05, 1.4785060557187535e-05, 0.011677485890686512
f1, 5, 16, 1, 2, 3.82597791031003e-05, 4.282263762434013e-05, 0.018484381958842278
f1, 5, 16, 1, 3, 1.0765624210762326e-05, 1.002539738692576e-05, 0.010077915154397488
f1, 5, 16, 1, 4, 2.6485970010980964e-05, 2.7466114261187613e-05, 0.01572529226541519
f1, 5, 16, 1, 5, 9.041356861416716e-06, 8.993819392344449e-06, 0.00901084952056408
f1, 5, 32, 1, 1, 1.048170179274166e-05, 1.0278113222739194e-05, 0.009755090810358524
f1, 5, 32, 1, 2, 1.2630518540390767e-05, 1.3683058568858542e-05, 0.01076282188296318
f1, 5, 32, 1, 3, 3.6648386867454974e-06, 3.987874151789583e-06, 0.005903973244130611
f1, 5, 32, 1, 4, 3.159002517350018e-06, 3.088825451413868e-06, 0.0052901641465723515
