function, G, width, depth, run, loss, mse, l2
f1, 5, 2, 1, 1, 0.01164235733449459, 0.012542442418634892, 0.3212490975856781
f1, 5, 2, 1, 2, 0.01698828674852848, 0.019115379080176353, 0.40229111909866333
f1, 5, 2, 1, 3, 0.010514583438634872, 0.011180868372321129, 0.30778858065605164
f1, 5, 2, 1, 4, 0.002996809082105756, 0.0029740261379629374, 0.16244345903396606
f1, 5, 2, 1, 5, 0.0024738293141126633, 0.0023033900652080774, 0.15093880891799927
f1, 5, 4, 1, 1, 0.0008482559351250529, 0.0009519970626570284, 0.08845055848360062
f1, 5, 4, 1, 2, 0.0011555319651961327, 0.0013790474040433764, 0.10271541029214859
f1, 5, 4, 1, 3, 0.0007617492810823023, 0.0008448046282865107, 0.0850670114159584
f1, 5, 4, 1, 4, 0.0025090130511671305, 0.0026732387486845255, 0.15398679673671722
f1, 5, 4, 1, 5, 0.0013867777306586504, 0.0016235666116699576, 0.11506573110818863
f1, 5, 8, 1, 1, 0.00044968724250793457, 0.0005120970890857279, 0.0660831481218338
f1, 5, 8, 1, 2, 0.00020536512602120638, 0.0002228322409791872, 0.04400521144270897
f1, 5, 8, 1, 3, 0.00024994570412673056, 0.00025334794190712273, 0.047615405172109604
f1, 5, 8, 1, 4, 0.0003954269632231444, 0.00045890381443314254, 0.06186511740088463
f1, 5, 8, 1, 5, 0.001893452601507306, 0.0021022811997681856, 0.13558389246463776
f1, 5, 16, 1, 1, 0.0001386153162457049, 0.00014325779920909554, 0.035874493420124054
f1, 5, 16, 1, 2, 0.00010143734834855422, 0.00011780462955357507, 0.03218298777937889
f1, 5, 16, 1, 3, 0.00010170447058044374, 0.00011171402729814872, 0.03143865615129471
f1, 5, 16, 1, 4, 0.0002470605541020632, 0.00025326808099634945, 0.05060786381363869
f1, 5, 16, 1, 5, 0.00021714571630582213, 0.00023736691218800843, 0.046491846442222595
f1, 5, 32, 1, 1, 7.192780321929604e-05, 8.719342440599576e-05, 0.02704676054418087
f1, 5, 32, 1, 2, 6.46079788566567e-05, 8.47198607516475e-05, 0.026132339611649513
f1, 5, 32, 1, 3, 6.054483674233779e-05, 6.554205901920795e-05, 0.025097960606217384
f1, 5, 32, 1, 4, 7.037233444862068e-05, 7.055674359435216e-05, 0.026699921116232872
f1, 5, 32, 1, 5, 0.0001065689284587279, 0.00012216481263749301, 0.032832302153110504
f1, 5, 64, 1, 1, 3.217982521164231e-05, 4.4991134927840903e-05, 0.0191793292760849
f1, 5, 64, 1, 2, 6.156186282169074e-05, 7.081319199642166e-05, 0.025153862312436104
f1, 5, 64, 1, 3, 7.166330760810524e-05, 8.356046600965783e-05, 0.027473323047161102
f1, 5, 64, 1, 4, 3.267654392402619e-05, 3.422573354328051e-05, 0.01833597756922245
f1, 5, 64, 1, 5, 4.2322473746025935e-05, 5.0996346544707194e-05, 0.02127494290471077
f1, 5, 2, 2, 1, 0.01552549097687006, 0.015193893574178219, 0.38799554109573364
f1, 5, 2, 2, 2, 0.0019456290174275637, 0.0021017289254814386, 0.13247723877429962
f1, 5, 2, 2, 3, 0.009689831174910069, 0.010525907389819622, 0.30190184712409973
f1, 5, 2, 2, 4, 0.010840862058103085, 0.012857559137046337, 0.3171180486679077
f1, 5, 2, 2, 5, 0.0018857262330129743, 0.0017346778186038136, 0.1326959729194641
f1, 5, 4, 2, 1, 0.0011358321644365788, 0.0012785069411620498, 0.10679086297750473
f1, 5, 4, 2, 2, 0.002305896021425724, 0.003029842395335436, 0.14721092581748962
f1, 5, 4, 2, 3, 0.0008477814844809473, 0.0009805348236113787, 0.09065161645412445
f1, 5, 4, 2, 4, 0.001852441462688148, 0.0019915278535336256, 0.13442014157772064
f1, 5, 4, 2, 5, 0.0010195983340963721, 0.0011048881569877267, 0.10081280767917633
f1, 5, 8, 2, 1, 0.0005920358235016465, 0.0006831022328697145, 0.0769435241818428
f1, 5, 8, 2, 2, 0.0001518664794275537, 0.00018146690854337066, 0.039828140288591385
f1, 5, 8, 2, 3, 0.0001388330856570974, 0.00015694489411544055, 0.03861163556575775
f1, 5, 8, 2, 4, 0.00017220662266481668, 0.00019753412925638258, 0.043026577681303024
f1, 5, 8, 2, 5, 0.00030805516871623695, 0.00034272586344741285, 0.05660832300782204
f1, 5, 16, 2, 1, 4.5806671550963074e-05, 5.492129275808111e-05, 0.02407155930995941
f1, 5, 16, 2, 2, 4.583074769470841e-05, 7.851987902540714e-05, 0.025275126099586487
f1, 5, 16, 2, 3, 0.00020928066805936396, 0.0002971190260723233, 0.051175955682992935
f1, 5, 16, 2, 4, 5.558031261898577e-05, 8.222594624385238e-05, 0.026782141998410225
f1, 5, 16, 2, 5, 9.199201303999871e-05, 0.00014262620243243873, 0.034716490656137466
f1, 5, 32, 2, 1, 2.0626504920073785e-05, 3.407190160942264e-05, 0.01733337715268135
f1, 5, 32, 2, 2, 2.3759161194902845e-05, 4.353233816800639e-05, 0.020146457478404045
f1, 5, 32, 2, 3, 2.4178953026421368e-05, 3.841369107249193e-05, 0.020559830591082573
f1, 5, 32, 2, 4, 2.4061573640210554e-05, 5.753039658884518e-05, 0.022352853789925575
f1, 5, 32, 2, 5, 2.2217558580450714e-05, 4.037407779833302e-05, 0.019357891753315926
f1, 5, 64, 2, 1, 1.0395171557320282e-05, 2.3434202375938185e-05, 0.014463174156844616
f1, 5, 64, 2, 2, 1.5745219570817426e-05, 4.650625487556681e-05, 0.02005607821047306
f1, 5, 64, 2, 3, 0.00011829765571746975, 0.00015295392950065434, 0.03730835020542145
f1, 5, 64, 2, 4, 9.226982911059167e-06, 2.805264557537157e-05, 0.015682676807045937
f1, 5, 64, 2, 5, 1.8123386325896718e-05, 4.134628034080379e-05, 0.01955682784318924
f1, 5, 2, 3, 1, 0.025354186072945595, 0.028116019442677498, 0.5045066475868225
f1, 5, 2, 3, 2, 0.003238850273191929, 0.0036525854375213385, 0.1763996183872223
