function, G, width, depth, run, loss, mse, l2
f1, 5, 2, 1, 1, 0.015194517560303211, 0.02058224007487297, 0.38236644864082336
f1, 5, 2, 1, 2, 0.000243105212575756, 0.00361923361197114, 0.05965057760477066
f1, 5, 2, 1, 3, 7.762040331726894e-05, 0.0012997575104236603, 0.04015648737549782
f1, 5, 2, 1, 4, 0.00033289214479736984, 0.0026840774808079004, 0.0599425844848156
f1, 5, 2, 1, 5, 6.162553472677246e-05, 0.0010954563040286303, 0.048662569373846054
f1, 5, 4, 1, 1, 2.838066211552359e-05, 0.0014990258496254683, 0.04540332779288292
f1, 5, 4, 1, 2, 0.00016554696776438504, 0.0025340483989566565, 0.06222076714038849
f1, 5, 4, 1, 3, 8.27216572361067e-05, 0.001547632273286581, 0.04289717599749565
f1, 5, 4, 1, 4, 2.2779138816986233e-05, 0.0020671968813985586, 0.0354936309158802
f1, 5, 4, 1, 5, 9.85952647170052e-05, 0.0030171333346515894, 0.05106135085225105
f1, 5, 8, 1, 1, 1.586046528245788e-05, 0.0018915836699306965, 0.043461184948682785
f1, 5, 8, 1, 2, 4.079207428731024e-05, 0.0010803173063322902, 0.04207652807235718
f1, 5, 8, 1, 3, 2.8890852263430133e-05, 0.0016526771942153573, 0.03394993022084236
f1, 5, 8, 1, 4, 0.00011307434760965407, 0.0013217551168054342, 0.05317624658346176
f1, 5, 8, 1, 5, 4.060771971126087e-05, 0.0010974752949550748, 0.031179990619421005
f1, 5, 16, 1, 1, 1.882909236883279e-05, 0.002062797313556075, 0.039805538952350616
f1, 5, 16, 1, 2, 2.085680353047792e-05, 0.0011155951069667935, 0.0354493148624897
f1, 5, 16, 1, 3, 2.908960414060857e-05, 0.001377526088617742, 0.04512892663478851
f1, 5, 16, 1, 4, 3.671860758913681e-05, 0.0026401823852211237, 0.06094317138195038
f1, 5, 16, 1, 5, 5.016437717131339e-05, 0.0022407970391213894, 0.05449123680591583
f1, 5, 32, 1, 1, 1.624491596885491e-05, 0.0037009429652243853, 0.07074826955795288
f1, 5, 32, 1, 2, 1.3893444702262059e-05, 0.0018144212663173676, 0.03656663000583649
f1, 5, 32, 1, 3, 1.914604399644304e-05, 0.001731747412122786, 0.04557037726044655
f1, 5, 32, 1, 4, 1.846803024818655e-05, 0.0019451124826446176, 0.04339712858200073
f1, 5, 32, 1, 5, 1.5145284123718739e-05, 0.0019468257669359446, 0.044329944998025894
f1, 5, 64, 1, 1, 9.575168405717704e-06, 0.002059723250567913, 0.05186270549893379
f1, 5, 64, 1, 2, 1.0693129297578707e-05, 0.004297184757888317, 0.06856948137283325
f1, 5, 64, 1, 3, 1.2418356163834687e-05, 0.002879147883504629, 0.05612223967909813
f1, 5, 64, 1, 4, 1.0181329344050027e-05, 0.005475499201565981, 0.06619346886873245
f1, 5, 64, 1, 5, 4.642987551051192e-05, 0.0021438829135149717, 0.05663387104868889
f1, 5, 2, 2, 1, 0.05120574310421944, 0.0889824777841568, 0.7592273354530334
f1, 5, 2, 2, 2, 0.00010542761447140947, 0.003084542928263545, 0.05082013085484505
f1, 5, 2, 2, 3, 0.014438462443649769, 0.023572927340865135, 0.39396846294403076
f1, 5, 2, 2, 4, 0.016617033630609512, 0.027160771191120148, 0.45549678802490234
f1, 5, 2, 2, 5, 0.008655847981572151, 0.01491570845246315, 0.3167102634906769
