pde, G, width, depth, run, loss, l2
allen-cahn, 5, 2, 1, 1, 0.04579583555459976, 0.9301889538764954
allen-cahn, 5, 2, 1, 2, 0.09552737325429916, 1.1223684549331665
allen-cahn, 5, 2, 1, 3, 0.05553080514073372, 0.9565193057060242
allen-cahn, 5, 2, 1, 4, 0.04382361099123955, 0.8749058246612549
allen-cahn, 5, 2, 1, 5, 0.04668140783905983, 0.8908272385597229
allen-cahn, 5, 4, 1, 1, 0.06305520981550217, 0.9839394688606262
allen-cahn, 5, 4, 1, 2, 0.02841213159263134, 0.7382745146751404
allen-cahn, 5, 4, 1, 3, 0.03392406180500984, 0.8381420969963074
allen-cahn, 5, 4, 1, 4, 0.03614112362265587, 0.774980902671814
allen-cahn, 5, 4, 1, 5, 0.04138491302728653, 0.7929432988166809
allen-cahn, 5, 8, 1, 1, 0.07164590805768967, 1.0445629358291626
allen-cahn, 5, 8, 1, 2, 0.019229615107178688, 0.631714940071106
allen-cahn, 5, 8, 1, 3, 0.02623787149786949, 0.7485312819480896
allen-cahn, 5, 8, 1, 4, 0.035118721425533295, 0.8302388787269592
allen-cahn, 5, 8, 1, 5, 0.02884732000529766, 0.7542216777801514
allen-cahn, 5, 16, 1, 1, 0.02156613953411579, 0.6932039260864258
allen-cahn, 5, 16, 1, 2, 0.01972966268658638, 0.6443056464195251
allen-cahn, 5, 16, 1, 3, 0.032393984496593475, 0.8401864171028137
allen-cahn, 5, 16, 1, 4, 0.021213514730334282, 0.6761032938957214
allen-cahn, 5, 16, 1, 5, 0.03607621043920517, 0.8379582762718201
allen-cahn, 5, 32, 1, 1, 0.02492012456059456, 0.7274256348609924
allen-cahn, 5, 32, 1, 2, 0.027791406959295273, 0.7611110210418701
allen-cahn, 5, 32, 1, 3, 0.03850845992565155, 0.8927422761917114
allen-cahn, 5, 32, 1, 4, 0.0400543138384819, 0.9109809398651123
allen-cahn, 5, 32, 1, 5, 0.02477080374956131, 0.726445198059082
allen-cahn, 5, 64, 1, 1, 0.033825039863586426, 0.8170168399810791
allen-cahn, 5, 64, 1, 2, 0.03874104470014572, 0.9265274405479431
allen-cahn, 5, 64, 1, 3, 0.06280320882797241, 0.9338696002960205
allen-cahn, 5, 64, 1, 4, 0.031237149611115456, 0.8117145895957947
allen-cahn, 5, 64, 1, 5, 0.03490908443927765, 0.8632489442825317
allen-cahn, 5, 2, 2, 1, 0.019564427435398102, 0.6037384867668152
allen-cahn, 5, 2, 2, 2, 0.9525984525680542, 0.8079688549041748
allen-cahn, 5, 2, 2, 3, 0.028521444648504257, 0.5614148378372192
allen-cahn, 5, 2, 2, 4, 0.01736508496105671, 0.5930586457252502
allen-cahn, 5, 2, 2, 5, 0.01621653512120247, 0.5572370886802673
allen-cahn, 5, 4, 2, 1, 0.01573598012328148, 0.541517972946167
allen-cahn, 5, 4, 2, 2, 0.01572697050869465, 0.5518379807472229
allen-cahn, 5, 4, 2, 3, 0.016621636226773262, 0.5651927590370178
allen-cahn, 5, 4, 2, 4, 0.017042649909853935, 0.5804810523986816
allen-cahn, 5, 4, 2, 5, 0.015905454754829407, 0.5457777380943298
allen-cahn, 5, 8, 2, 1, 0.016798805445432663, 0.5517630577087402
allen-cahn, 5, 8, 2, 2, 0.020188823342323303, 0.5782918930053711
allen-cahn, 5, 8, 2, 3, 0.015961293131113052, 0.5639349818229675
allen-cahn, 5, 8, 2, 4, 0.016226857900619507, 0.5773671269416809
allen-cahn, 5, 8, 2, 5, 0.016218388453125954, 0.5721892714500427
allen-cahn, 5, 16, 2, 1, 0.01630851998925209, 0.5834029316902161
allen-cahn, 5, 16, 2, 2, 0.0203753300011158, 0.5572869777679443
allen-cahn, 5, 16, 2, 3, 0.023492947220802307, 0.5796798467636108
allen-cahn, 5, 16, 2, 4, 0.01716000959277153, 0.585702657699585
allen-cahn, 5, 16, 2, 5, 0.01688941940665245, 0.5860235095024109
allen-cahn, 5, 32, 2, 1, 0.01648944802582264, 0.5693429112434387
allen-cahn, 5, 32, 2, 2, 0.017066722735762596, 0.5883141160011292
allen-cahn, 5, 32, 2, 3, 0.018389377743005753, 0.6024653911590576
allen-cahn, 5, 32, 2, 4, 0.017432259395718575, 0.6064906716346741
allen-cahn, 5, 32, 2, 5, 0.017751624807715416, 0.6194068789482117
allen-cahn, 5, 64, 2, 1, 0.04879404976963997, 0.680744469165802
allen-cahn, 5, 64, 2, 2, 0.01996491104364395, 0.6751534938812256
allen-cahn, 5, 64, 2, 3, 0.027793046087026596, 0.7720020413398743
allen-cahn, 5, 64, 2, 4, 0.01750723272562027, 0.6083613038063049
allen-cahn, 5, 64, 2, 5, 0.04513963684439659, 0.982414722442627
allen-cahn, 5, 2, 3, 1, 2.070972442626953, 0.9861904978752136
allen-cahn, 5, 2, 3, 2, 1.0383658409118652, 0.9215426445007324
allen-cahn, 5, 2, 3, 3, 0.5644273161888123, 0.7425311207771301
allen-cahn, 5, 2, 3, 4, 0.015431994572281837, 0.5330492854118347
allen-cahn, 5, 2, 3, 5, 0.015528658404946327, 0.5299763083457947
allen-cahn, 5, 4, 3, 1, 0.015913840383291245, 0.5408850908279419
allen-cahn, 5, 4, 3, 2, 0.015308591537177563, 0.5355973839759827
allen-cahn, 5, 4, 3, 3, 0.01588825322687626, 0.5342113971710205
allen-cahn, 5, 4, 3, 4, 0.016060810536146164, 0.5460511445999146
allen-cahn, 5, 4, 3, 5, 0.015471402555704117, 0.5356891751289368
allen-cahn, 5, 8, 3, 1, 0.011874206364154816, 0.3595615029335022
allen-cahn, 5, 8, 3, 2, 0.015247377566993237, 0.5421326756477356
allen-cahn, 5, 8, 3, 3, 0.01611923612654209, 0.533352792263031
allen-cahn, 5, 8, 3, 4, 0.015238114632666111, 0.5440149307250977
allen-cahn, 5, 8, 3, 5, 0.016262739896774292, 0.5864247679710388
allen-cahn, 5, 16, 3, 1, 0.0149136483669281, 0.5351735949516296
allen-cahn, 5, 16, 3, 2, 0.014867915771901608, 0.5217218995094299
allen-cahn, 5, 16, 3, 3, 0.017664551734924316, 0.5490203499794006
allen-cahn, 5, 16, 3, 4, 0.015620036981999874, 0.5521525144577026
allen-cahn, 5, 16, 3, 5, 0.018692173063755035, 0.5429452061653137
allen-cahn, 5, 32, 3, 1, 0.016379887238144875, 0.6051775813102722
allen-cahn, 5, 32, 3, 2, 1.9628331661224365, 1.0056169033050537
allen-cahn, 5, 32, 3, 3, 0.03886181861162186, 0.6815144419670105
allen-cahn, 5, 32, 3, 4, 0.42831581830978394, 0.800611674785614
allen-cahn, 5, 32, 3, 5, 0.016872161999344826, 0.6138755679130554
allen-cahn, 5, 64, 3, 1, 0.19081918895244598, 0.8111903667449951
allen-cahn, 5, 64, 3, 2, 0.04356379806995392, 0.9956378936767578
allen-cahn, 5, 64, 3, 3, 0.04420264810323715, 0.9550352692604065
allen-cahn, 5, 64, 3, 4, 0.030032293871045113, 0.5774526596069336
allen-cahn, 5, 64, 3, 5, 0.032793719321489334, 0.8153998851776123
allen-cahn, 5, 2, 4, 1, 0.016568420454859734, 0.5239788889884949
allen-cahn, 5, 2, 4, 2, 0.5227861404418945, 0.9112666249275208
allen-cahn, 5, 2, 4, 3, 0.015554413199424744, 0.5385686159133911
allen-cahn, 5, 2, 4, 4, 0.015378961339592934, 0.54225093126297
allen-cahn, 5, 2, 4, 5, 0.015269111841917038, 0.5325010418891907
allen-cahn, 5, 4, 4, 1, 0.0150920320302248, 0.532444417476654
allen-cahn, 5, 4, 4, 2, 0.015263067558407784, 0.5376136302947998
allen-cahn, 5, 4, 4, 3, 0.015295055694878101, 0.5361682176589966
allen-cahn, 5, 4, 4, 4, 0.015013436786830425, 0.5322034955024719
allen-cahn, 5, 4, 4, 5, 0.015523838810622692, 0.5282297134399414
allen-cahn, 5, 8, 4, 1, 0.01387585699558258, 0.4666413366794586
allen-cahn, 5, 8, 4, 2, 0.01529082003980875, 0.5359994173049927
allen-cahn, 5, 8, 4, 3, 0.014474817551672459, 0.5070058107376099
allen-cahn, 5, 8, 4, 4, 0.015132080763578415, 0.5297370553016663
allen-cahn, 5, 8, 4, 5, 0.013835717923939228, 0.44822070002555847
allen-cahn, 5, 16, 4, 1, 0.015026139095425606, 0.5658943057060242
allen-cahn, 5, 16, 4, 2, 0.016074880957603455, 0.5349482893943787
allen-cahn, 5, 16, 4, 3, 0.006040650419890881, 0.24093210697174072
allen-cahn, 5, 16, 4, 4, 0.028846967965364456, 0.5291794538497925
