method,pde,G,width,depth,pow_res,pow_basis,run,loss,l2
lecun_norm,ac,5,2,1,,,1,0.0344947502017021,0.7701683640480042
lecun_norm,ac,5,2,1,,,2,0.0307223387062549,0.77543705701828
lecun_norm,ac,5,2,1,,,3,0.1297486573457718,1.0622379779815674
lecun_norm,ac,5,2,1,,,4,0.0352294743061065,0.7271357178688049
lecun_norm,ac,5,2,1,,,5,0.0279897395521402,0.728516161441803
lecun_norm,ac,5,4,1,,,1,0.0498874820768833,0.9391894936561584
lecun_norm,ac,5,4,1,,,2,0.0254722740501165,0.733860969543457
lecun_norm,ac,5,4,1,,,3,0.0322252959012985,0.7876101732254028
lecun_norm,ac,5,4,1,,,4,0.0909306704998016,1.0487375259399414
lecun_norm,ac,5,4,1,,,5,0.0192644763737916,0.6213251352310181
lecun_norm,ac,5,8,1,,,1,0.0227499455213546,0.7070423364639282
lecun_norm,ac,5,8,1,,,2,0.0259932912886142,0.7516505122184753
lecun_norm,ac,5,8,1,,,3,0.0198564790189266,0.6494002938270569
lecun_norm,ac,5,8,1,,,4,0.0270528402179479,0.7567299604415894
lecun_norm,ac,5,8,1,,,5,0.0242402106523513,0.701947033405304
lecun_norm,ac,5,16,1,,,1,0.0220805145800113,0.720267653465271
lecun_norm,ac,5,16,1,,,2,0.0222366638481616,0.6846272349357605
lecun_norm,ac,5,16,1,,,3,0.0321516320109367,0.8723511099815369
lecun_norm,ac,5,16,1,,,4,0.0251432787626981,0.755195140838623
lecun_norm,ac,5,16,1,,,5,0.0274769887328147,0.7580955624580383
lecun_norm,ac,5,32,1,,,1,0.025705998763442,0.7902091145515442
lecun_norm,ac,5,32,1,,,2,0.0218406617641448,0.6651880741119385
lecun_norm,ac,5,32,1,,,3,0.0291180424392223,0.8324761390686035
lecun_norm,ac,5,32,1,,,4,0.0257614180445671,0.7846661806106567
lecun_norm,ac,5,32,1,,,5,0.0285281613469123,0.7720611691474915
lecun_norm,ac,5,64,1,,,1,0.0372139140963554,0.8919958472251892
lecun_norm,ac,5,64,1,,,2,0.0409685373306274,0.8729602098464966
lecun_norm,ac,5,64,1,,,3,0.0440189689397811,0.8997770547866821
lecun_norm,ac,5,64,1,,,4,0.0337716303765773,0.8672531843185425
