pde, G, width, depth, run, loss, l2
allen-cahn, 5, 2, 1, 1, 0.06046668067574501, 1.0580271482467651
allen-cahn, 5, 2, 1, 2, 0.11017975211143494, 1.102346658706665
allen-cahn, 5, 2, 1, 3, 0.045687537640333176, 0.9488058090209961
allen-cahn, 5, 2, 1, 4, 0.030127618461847305, 0.7006457448005676
allen-cahn, 5, 2, 1, 5, 0.0438016876578331, 0.8550018072128296
allen-cahn, 5, 4, 1, 1, 0.04034527391195297, 0.7375572323799133
allen-cahn, 5, 4, 1, 2, 0.05796675756573677, 1.00325345993042
allen-cahn, 5, 4, 1, 3, 0.048461828380823135, 0.9378494620323181
allen-cahn, 5, 4, 1, 4, 0.04462185129523277, 0.87855064868927
allen-cahn, 5, 4, 1, 5, 0.03937992826104164, 0.8498285412788391
allen-cahn, 5, 8, 1, 1, 0.04413933679461479, 0.8962176442146301
allen-cahn, 5, 8, 1, 2, 0.03574654087424278, 0.9048947691917419
allen-cahn, 5, 8, 1, 3, 0.03188734129071236, 0.7663142085075378
allen-cahn, 5, 8, 1, 4, 0.024589015170931816, 0.6874987483024597
allen-cahn, 5, 8, 1, 5, 0.04913438856601715, 0.8024296164512634
allen-cahn, 5, 16, 1, 1, 0.030236508697271347, 0.7943260073661804
allen-cahn, 5, 16, 1, 2, 0.03302990272641182, 0.8271397948265076
allen-cahn, 5, 16, 1, 3, 0.03455928713083267, 0.8343679904937744
allen-cahn, 5, 16, 1, 4, 0.040338315069675446, 0.9255804419517517
allen-cahn, 5, 16, 1, 5, 0.04115394875407219, 0.8839179873466492
allen-cahn, 5, 32, 1, 1, 0.024517282843589783, 0.7296611666679382
allen-cahn, 5, 32, 1, 2, 0.020417481660842896, 0.5842926502227783
allen-cahn, 5, 32, 1, 3, 0.02549837902188301, 0.8104075789451599
allen-cahn, 5, 32, 1, 4, 0.028517533093690872, 0.8121494650840759
allen-cahn, 5, 32, 1, 5, 0.031719837337732315, 0.8156671524047852
allen-cahn, 5, 64, 1, 1, 0.029006291180849075, 0.7603491544723511
allen-cahn, 5, 64, 1, 2, 0.02645157277584076, 0.7976964712142944
allen-cahn, 5, 64, 1, 3, 0.026979869231581688, 0.8047080039978027
allen-cahn, 5, 64, 1, 4, 0.029628459364175797, 0.7226579785346985
allen-cahn, 5, 64, 1, 5, 0.040299367159605026, 0.8292884230613708
allen-cahn, 5, 2, 2, 1, 0.7111372351646423, 0.7966344952583313
allen-cahn, 5, 2, 2, 2, 0.026200655847787857, 0.702665388584137
allen-cahn, 5, 2, 2, 3, 0.02093510515987873, 0.64251309633255
allen-cahn, 5, 2, 2, 4, 0.030237633734941483, 0.7423986792564392
allen-cahn, 5, 2, 2, 5, 0.026796283200383186, 0.6242819428443909
allen-cahn, 5, 4, 2, 1, 0.029128707945346832, 0.727632462978363
allen-cahn, 5, 4, 2, 2, 0.045423537492752075, 0.9910089373588562
allen-cahn, 5, 4, 2, 3, 0.017345193773508072, 0.5994269847869873
allen-cahn, 5, 4, 2, 4, 0.021636370569467545, 0.6356993317604065
allen-cahn, 5, 4, 2, 5, 0.021814782172441483, 0.6653426289558411
allen-cahn, 5, 8, 2, 1, 0.021581128239631653, 0.6701135635375977
allen-cahn, 5, 8, 2, 2, 0.01858985424041748, 0.6430920362472534
allen-cahn, 5, 8, 2, 3, 0.018448786810040474, 0.6357465982437134
allen-cahn, 5, 8, 2, 4, 0.021573131904006004, 0.6859386563301086
allen-cahn, 5, 8, 2, 5, 0.017191613093018532, 0.6263695359230042
allen-cahn, 5, 16, 2, 1, 0.018004193902015686, 0.6000160574913025
allen-cahn, 5, 16, 2, 2, 0.017349153757095337, 0.6262741088867188
allen-cahn, 5, 16, 2, 3, 0.0173785537481308, 0.5925316214561462
allen-cahn, 5, 16, 2, 4, 0.027513545006513596, 0.7245330810546875
allen-cahn, 5, 16, 2, 5, 0.021315814927220345, 0.6639550924301147
allen-cahn, 5, 32, 2, 1, 0.014910005033016205, 0.43310970067977905
allen-cahn, 5, 32, 2, 2, 0.018772084265947342, 0.3666796088218689
allen-cahn, 5, 32, 2, 3, 0.012326693162322044, 0.4566197991371155
allen-cahn, 5, 32, 2, 4, 0.018275605514645576, 0.506679892539978
allen-cahn, 5, 32, 2, 5, 0.015997406095266342, 0.5655314922332764
allen-cahn, 5, 64, 2, 1, 0.010246186517179012, 0.37892404198646545
allen-cahn, 5, 64, 2, 2, 0.013966072350740433, 0.41582947969436646
allen-cahn, 5, 64, 2, 3, 0.01234140619635582, 0.40531203150749207
allen-cahn, 5, 64, 2, 4, 0.009766834788024426, 0.32315635681152344
allen-cahn, 5, 64, 2, 5, 0.026780957356095314, 0.35988661646842957
allen-cahn, 5, 2, 3, 1, 1.1427887678146362, 0.8872195482254028
allen-cahn, 5, 2, 3, 2, 0.47150036692619324, 0.7269679307937622
allen-cahn, 5, 2, 3, 3, 0.018447816371917725, 0.5729522109031677
allen-cahn, 5, 2, 3, 4, 0.039836376905441284, 0.9058682918548584
allen-cahn, 5, 2, 3, 5, 0.04581154137849808, 0.8764548301696777
allen-cahn, 5, 4, 3, 1, 0.024936344474554062, 0.7385013699531555
allen-cahn, 5, 4, 3, 2, 0.01799316518008709, 0.6164242029190063
allen-cahn, 5, 4, 3, 3, 0.019640818238258362, 0.6230937838554382
allen-cahn, 5, 4, 3, 4, 0.017401041463017464, 0.5632689595222473
allen-cahn, 5, 4, 3, 5, 0.20426452159881592, 0.7697221636772156
allen-cahn, 5, 8, 3, 1, 0.010354876518249512, 0.345011442899704
allen-cahn, 5, 8, 3, 2, 0.016594721004366875, 0.5942510366439819
allen-cahn, 5, 8, 3, 3, 0.022395631298422813, 0.6332818269729614
allen-cahn, 5, 8, 3, 4, 0.014902235008776188, 0.5671334862709045
allen-cahn, 5, 8, 3, 5, 0.017123011872172356, 0.5890663266181946
allen-cahn, 5, 16, 3, 1, 0.022585218772292137, 0.5699023008346558
allen-cahn, 5, 16, 3, 2, 0.020903417840600014, 0.6822372078895569
allen-cahn, 5, 16, 3, 3, 0.018372580409049988, 0.661016047000885
allen-cahn, 5, 16, 3, 4, 0.016191748902201653, 0.621143639087677
allen-cahn, 5, 16, 3, 5, 0.01661372371017933, 0.6346830129623413
allen-cahn, 5, 32, 3, 1, 0.015116425231099129, 0.5004591941833496
allen-cahn, 5, 32, 3, 2, 0.026474732905626297, 0.5427159667015076
allen-cahn, 5, 32, 3, 3, 0.018554143607616425, 0.42300406098365784
allen-cahn, 5, 32, 3, 4, 0.015839992091059685, 0.5197657346725464
allen-cahn, 5, 32, 3, 5, 0.014870444312691689, 0.5829349756240845
allen-cahn, 5, 64, 3, 1, 0.011489663273096085, 0.24439336359500885
allen-cahn, 5, 64, 3, 2, 0.014052310027182102, 0.2861703336238861
allen-cahn, 5, 64, 3, 3, 0.017259422689676285, 0.3092692196369171
allen-cahn, 5, 64, 3, 4, 0.015338923782110214, 0.2668265104293823
allen-cahn, 5, 64, 3, 5, 0.01070162933319807, 0.3871249854564667
allen-cahn, 5, 2, 4, 1, 19.420433044433594, 1.4325220584869385
allen-cahn, 5, 2, 4, 2, 0.015249570831656456, 0.5346023440361023
allen-cahn, 5, 2, 4, 3, 1.0267794132232666, 0.8334245085716248
allen-cahn, 5, 2, 4, 4, 0.02209612727165222, 0.6596627235412598
allen-cahn, 5, 2, 4, 5, 0.08035343885421753, 1.0459076166152954
allen-cahn, 5, 4, 4, 1, 0.018686046823859215, 0.6384461522102356
allen-cahn, 5, 4, 4, 2, 0.02047307789325714, 0.667327344417572
allen-cahn, 5, 4, 4, 3, 0.018941307440400124, 0.5543915629386902
allen-cahn, 5, 4, 4, 4, 0.018012838438153267, 0.5287922620773315
allen-cahn, 5, 4, 4, 5, 0.09691581130027771, 0.8861629366874695
allen-cahn, 5, 8, 4, 1, 0.015504131093621254, 0.5387001633644104
allen-cahn, 5, 8, 4, 2, 0.017924915999174118, 0.5761984586715698
allen-cahn, 5, 8, 4, 3, 0.019983826205134392, 0.5882543325424194
