pde, G, width, depth, pow_basis, pow_res, run, loss, l2
allen-cahn, 5, 2, 1, 0.0, 0.0, 1, 5.945151329040527, 1.3634217977523804
allen-cahn, 5, 2, 1, 0.0, 0.0, 2, 2.1607131958007812, 0.9181939959526062
allen-cahn, 5, 2, 1, 0.0, 0.0, 3, 6.1226043701171875, 0.5864157676696777
allen-cahn, 5, 2, 1, 0.0, 0.25, 1, 2.494210720062256, 0.9324097037315369
allen-cahn, 5, 2, 1, 0.0, 0.25, 2, 2.1866493225097656, 0.861236035823822
allen-cahn, 5, 2, 1, 0.0, 0.25, 3, 0.8500093817710876, 0.7546492218971252
allen-cahn, 5, 2, 1, 0.0, 0.5, 1, 4.229874610900879, 1.0384413003921509
allen-cahn, 5, 2, 1, 0.0, 0.5, 2, 0.055195391178131104, 0.7355719208717346
allen-cahn, 5, 2, 1, 0.0, 0.5, 3, 0.17545033991336823, 1.118897795677185
allen-cahn, 5, 2, 1, 0.0, 0.75, 1, 3.6583075523376465, 0.7741557359695435
allen-cahn, 5, 2, 1, 0.0, 0.75, 2, 0.058500681072473526, 0.7513865828514099
allen-cahn, 5, 2, 1, 0.0, 0.75, 3, 0.15205852687358856, 1.087137222290039
allen-cahn, 5, 2, 1, 0.0, 1.0, 1, 6.987283706665039, 0.9473713636398315
allen-cahn, 5, 2, 1, 0.0, 1.0, 2, 0.04673612490296364, 0.6893025636672974
allen-cahn, 5, 2, 1, 0.0, 1.0, 3, 0.156028151512146, 0.8870739936828613
allen-cahn, 5, 2, 1, 0.0, 1.25, 1, 4.476499080657959, 0.911572277545929
allen-cahn, 5, 2, 1, 0.0, 1.25, 2, 0.046926625072956085, 0.6925033926963806
allen-cahn, 5, 2, 1, 0.0, 1.25, 3, 0.1606876254081726, 1.1197519302368164
allen-cahn, 5, 2, 1, 0.0, 1.5, 1, 4.000901699066162, 0.8628432750701904
allen-cahn, 5, 2, 1, 0.0, 1.5, 2, 0.04718237742781639, 0.6946332454681396
allen-cahn, 5, 2, 1, 0.0, 1.5, 3, 0.16093724966049194, 1.1235917806625366
allen-cahn, 5, 2, 1, 0.0, 1.75, 1, 4.066798210144043, 0.863801896572113
allen-cahn, 5, 2, 1, 0.0, 1.75, 2, 0.047514669597148895, 0.6965586543083191
allen-cahn, 5, 2, 1, 0.0, 1.75, 3, 0.16134238243103027, 1.125225305557251
allen-cahn, 5, 2, 1, 0.0, 2.0, 1, 4.083034515380859, 0.8639978170394897
allen-cahn, 5, 2, 1, 0.0, 2.0, 2, 0.047715283930301666, 0.6976468563079834
allen-cahn, 5, 2, 1, 0.0, 2.0, 3, 0.16163933277130127, 1.1260522603988647
allen-cahn, 5, 2, 1, 0.25, 0.0, 1, 0.060289084911346436, 0.8064468502998352
allen-cahn, 5, 2, 1, 0.25, 0.0, 2, 0.039552848786115646, 0.7389841079711914
allen-cahn, 5, 2, 1, 0.25, 0.0, 3, 1.4440932273864746, 0.9292925596237183
allen-cahn, 5, 2, 1, 0.25, 0.25, 1, 0.11220784485340118, 0.9021236300468445
allen-cahn, 5, 2, 1, 0.25, 0.25, 2, 2.445751428604126, 0.9710737466812134
allen-cahn, 5, 2, 1, 0.25, 0.25, 3, 0.05013925954699516, 0.9400026202201843
allen-cahn, 5, 2, 1, 0.25, 0.5, 1, 2.5754032135009766, 0.9695931077003479
