pde, G, width, depth, run, loss, l2
allen-cahn, 5, 2, 1, 1, 0.03449475020170212, 0.7701683640480042
allen-cahn, 5, 2, 1, 2, 0.03072233870625496, 0.77543705701828
allen-cahn, 5, 2, 1, 3, 0.1297486573457718, 1.0622379779815674
allen-cahn, 5, 2, 1, 4, 0.03522947430610657, 0.7271357178688049
allen-cahn, 5, 2, 1, 5, 0.027989739552140236, 0.728516161441803
allen-cahn, 5, 4, 1, 1, 0.049887482076883316, 0.9391894936561584
allen-cahn, 5, 4, 1, 2, 0.02547227405011654, 0.733860969543457
allen-cahn, 5, 4, 1, 3, 0.03222529590129852, 0.7876101732254028
allen-cahn, 5, 4, 1, 4, 0.09093067049980164, 1.0487375259399414
allen-cahn, 5, 4, 1, 5, 0.019264476373791695, 0.6213251352310181
allen-cahn, 5, 8, 1, 1, 0.022749945521354675, 0.7070423364639282
allen-cahn, 5, 8, 1, 2, 0.025993291288614273, 0.7516505122184753
allen-cahn, 5, 8, 1, 3, 0.01985647901892662, 0.6494002938270569
allen-cahn, 5, 8, 1, 4, 0.02705284021794796, 0.7567299604415894
allen-cahn, 5, 8, 1, 5, 0.02424021065235138, 0.701947033405304
allen-cahn, 5, 16, 1, 1, 0.022080514580011368, 0.720267653465271
allen-cahn, 5, 16, 1, 2, 0.022236663848161697, 0.6846272349357605
allen-cahn, 5, 16, 1, 3, 0.03215163201093674, 0.8723511099815369
allen-cahn, 5, 16, 1, 4, 0.025143278762698174, 0.755195140838623
allen-cahn, 5, 16, 1, 5, 0.02747698873281479, 0.7580955624580383
allen-cahn, 5, 32, 1, 1, 0.02570599876344204, 0.7902091145515442
allen-cahn, 5, 32, 1, 2, 0.021840661764144897, 0.6651880741119385
allen-cahn, 5, 32, 1, 3, 0.029118042439222336, 0.8324761390686035
allen-cahn, 5, 32, 1, 4, 0.025761418044567108, 0.7846661806106567
allen-cahn, 5, 32, 1, 5, 0.028528161346912384, 0.7720611691474915
allen-cahn, 5, 64, 1, 1, 0.03721391409635544, 0.8919958472251892
allen-cahn, 5, 64, 1, 2, 0.04096853733062744, 0.8729602098464966
allen-cahn, 5, 64, 1, 3, 0.04401896893978119, 0.8997770547866821
allen-cahn, 5, 64, 1, 4, 0.03377163037657738, 0.8672531843185425
allen-cahn, 5, 64, 1, 5, 0.03512563183903694, 0.8697057962417603
allen-cahn, 5, 2, 2, 1, 0.0171225443482399, 0.5836192965507507
allen-cahn, 5, 2, 2, 2, 0.01578494906425476, 0.5666153430938721
allen-cahn, 5, 2, 2, 3, 0.015505642630159855, 0.5369889736175537
